author,authorLink,content,forward,forward,comments,fabulous,time,source
罗免微窗,https://weibo.com/6001810611?refer_flag=1001030103_,疫情防控形势已经到了最吃劲的关键时期，疫情防控工作由全面防控向精准防控、重点防控转变。罗免镇始终坚持疫情防控和经济发展两手抓、两手都要硬策略，为确保疫情防控工作不松劲，有效保障企业复工复产，2月24日下午，罗免镇召开重点企业疫情防控工作会议，会议由镇人民政府镇长邓琼同志主持，相关分管领导和辖区各企业负责人参加会议。会上，镇武装部长李忠同志对前期各企业疫情防控工作情况进行了通报。镇人民政府副镇长费超同志传达了富民县新冠肺炎疫情防控指挥部下发的《富民县应对新冠肺炎疫情分区分级分类防控措施指导意见》，对当前疫情防控分区分类标准、区域及风险等级的划分、全国疫区的划分等内容向企业进行了详细说明。并对企业复产复工后在人员的管控、企业内部的日常清消、遇突发事件的处置等方面作了详细的安排。镇人民政府镇长邓琼同志强调：一是各企业要坚持科学研判，正确认识新阶段疫情防控的特点，抓好疫情防控工作；二是周密部署，全面落实企业疫情防控主体责任；三是强化督导，分区分级开展疫情防控工作检查，镇分管领导和相关部门要加大对辖区内复工复产企业疫情防控工作检查力度，重点对企业疫情防控领导机构设置、防控方案、人员管控、杀菌消毒、物资储备、员工监测、办公及会议情况、员工用餐情况、公共区域维护、应急处置、宣传教育、工作记录等12个方面进行检查。下一步，镇党委政府将遵循依法依规、科学严密、精准施策的防控策略，在抓好疫情防控工作的同时，全力抓好企业复工复产，将疫情对全镇经济社会的影响降到最小，确保完成今年全镇经济社会发展目标。@富民宣传 @昆宣发布 @昆明信息港 @昆明发布 ,,,,,-5秒前,微博 weibo.com
986路上好朋友,https://weibo.com/1750349212?refer_flag=1001030103_,【沈阳铁路66趟旅客列车接续停运】为应对疫情防控，沈阳局集团公司根据旅客出行需求变化，调整优化列车开行方案，对部分旅客列车采取接续停运措施。#抗击疫情 辽宁在行动#,,,,,-5秒前,iPhone客户端
人民网河南频道,https://weibo.com/3316714211?refer_flag=1001030103_,【#十大堵城不堵了#：节后复工#十大堵城拥堵下降近四成#】2月25日，国家信息中心大数据发展部等发布《2019年度中国主要城市交通分析报告》。2019年度中国十大堵城为哈尔滨、重庆、长春、北京、济南、呼和浩特、西安、大连、贵阳、沈阳。而受疫情影响，陆续复工后的“十大堵城”整体拥堵下降37.3%，昔日首堵北京拥堵降幅达38.3%@老板联播 L老板联播的微博视频 ,,,,,-4秒前,HUAWEI P20
渭南日报社,https://weibo.com/1994238825?refer_flag=1001030103_,-5秒前  来自 搜狗高速浏览器,,,,,-5秒前,搜狗高速浏览器
肇庆消防,https://weibo.com/5497276987?refer_flag=1001030103_,【家庭消防安全三大常识】#老家呆久了不想走怎么办# 疫情当前国家加大监管力度，不仅是为了全力抗击疫情，也是为了人民群众获得更多“幸福感”。可是，当你足够重视疫情防护时，也要注意消防安全，图说生活中的消防安全要点 ，一起看一下 2肇庆,,,,,-5秒前,iPhone 7 Plus
西安城事儿,https://weibo.com/5544721911?refer_flag=1001030103_,#西安抗疫在行动#【西安网红奶茶店复工顾客排长队】2月23日，自疫情爆发以来各地封闭管理近一个月，以往人头攒动的西安小寨商业圈也一度冷清了许多，然而，这两天附近几家网红奶茶店开门营业了，吸引不少年轻人前来。ps：奶茶虽好喝，生命更可贵！（青蕉视频）L青蕉视频的微博视频 #西安爆料#,,,,,-5秒前,News Android
平安绛县,https://weibo.com/2081307221?refer_flag=1001030103_,-5秒前  来自 微博 weibo.com,,,,,-5秒前,微博 weibo.com
雁塔宣传,https://weibo.com/3260376470?refer_flag=1001030103_,【疫情尚未结束 切忌掉以轻心】人头攒动，病毒“伺机而动”；聚集扎堆，病毒“可能尾随”；摘掉口罩，病毒“对你关照”；侥幸心理，病毒“闻风而起”。战“疫”还在继续，无数人正在一线辛苦付出。你能做的，是守好自己这块“阵地”，全民战“疫”需要你！L新华网的微博视频,,,,,-5秒前,正能量 · 视频社区
贝壳女孩TATTOO,https://weibo.com/5583082790?refer_flag=1001030103_,我看能接电话的也别收集问题了 首先 这次连线的不是答所有贝壳问 是去给身处疫情重灾区贝壳送温暖的 别问着问着偏离了活动目的好吗 理解大家对四胎二巡dvd的好奇 但是重复的问题也请别问了 张艺兴说了几次四胎快了 你再怎么问他也只能告诉你快了 不要浪费彼此时间了好吧 其次 有的问题把握不好度 容易引起分歧 所以不如多留点时间给幸运的贝壳表白 抒发爱意 ,,,,21,-5秒 转赞人数超过20,宇宙最🌟张艺兴的兴迷
鹰潭市自然资源局,https://weibo.com/3911030305?refer_flag=1001030103_,疫情期间，自然资源部这些政策，你应该知道！,,,,,-4秒前,360安全浏览器
健康中国,https://weibo.com/2834480301?refer_flag=1001030103_,#健康发布# 【截至2月24日24时新型冠状病毒肺炎疫情最新情况】2月24日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例508例，新增死亡病例71例（湖北68例，山东2例，广东1例），新增疑似病例530例。当日新增治愈出院病例2589例，解除医学观察的密切接触者15758人，重症病例减少789例。截至2月24日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例47672例（其中重症病例9126例），累计治愈出院病例27323例，累计死亡病例2663例，累计报告确诊病例77658例，现有疑似病例2824例。累计追踪到密切接触者641742人，尚在医学观察的密切接触者87902人。湖北新增确诊病例499例（武汉464例），新增治愈出院病例2116例（武汉1391例），新增死亡病例68例（武汉56例），现有确诊病例43369例（武汉34691例），其中重症病例8675例（武汉7647例）。累计治愈出院病例18854例（武汉10337例），累计死亡病例2563例（武汉2043例），累计确诊病例64786例（武汉47071例）。新增疑似病例373例（武汉282例），现有疑似病例2292例（武汉1529例）。累计收到港澳台地区通报确诊病例121例：香港特别行政区81例（出院19例，死亡2例），澳门特别行政区10例（出院6例），台湾地区30例(出院5例，死亡1例)。 , 467, 467, 936,6877,今天08:54,微博 weibo.com
微博媒体,https://weibo.com/5361563575?refer_flag=1001030103_,#等到能摘下口罩那一天#【战“疫”夫妻：万般思念一“线”牵】#天下英雄城南昌# 占雪琴是南昌市第三医院的一名工作人员，疫情期间，她每天都要对进入医院的病人及家属进行体温检查和信息排查，严格把好医院的“第一道防线”。而占雪琴的丈夫吴晓昇，早已作为南昌市第三医院第五批援助湖北医疗队队员奔赴武汉战“疫”一线。闲暇之余，他们只能通过视频聊天的方式聊上几句。 L南昌广播电视台的微博视频 ,,,,,4分钟前,iPhone客户端
当代广西杂志,https://weibo.com/1863222751?refer_flag=1001030103_,【痛心！广西来宾55岁民警抗疫牺牲，同事：交接班他都是提前十几二十分钟到】2月22日，广西来宾的55岁民警赵富恒在凌晨结束抗疫工作后，回到家中因身体不适到医院就医，经救治无效，当天下午逝世。此前，他主动请缨参加疫情防控在一线值守。同事说，工作的时候他都会提前一二十分钟来防疫执勤点，做好交接工作。在工作中，他也总是时时刻刻抢在前面。 O网页链接 ,,,,,3秒前,360安全浏览器
定西交通广播,https://weibo.com/6619289680?refer_flag=1001030103_,#疫情阻击战 定西在行动# 【国家发改委：#目前还达不到口罩要多少有多少#】国家发改委社会司司长欧晓理表示，现在马上要达到口罩要多少有多少的状况是不现实的。所以#科学按需使用口罩#，减少不必要的浪费，在当前很有必要。我们注意到有的人日常居家的时候也戴着N95口罩，有的人一天也接触不到一两个人也是1小时换一个口罩。这完全没有必要。我们呼吁每个人在科学做好自身防护的同时，都要肩负起科学节约使用口罩的责任。@环球网 ,,,,,3秒前,微博 weibo.com
新华视点,https://weibo.com/1699432410?refer_flag=1001030103_,#新型冠状病毒感染肺炎#【#疫情防控分区分级精准施策#】在25日召开的#国务院联防联控机制#新闻发布会上，国家发展改革委社会司司长欧晓理表示，目前各地疫情发展态势不尽相同，需要分类指导、精准施策。所谓分区、分级、精准复工复产，就是对湖北省、北京市以外的地区依据疫情严重程度，以县级为单位划分为低风险地区、中风险地区和高风险地区三类。 L新华视点的微博视频 , 25, 25, 33,59,3秒 转赞人数超过60,微博视频
二月择杏_婉婉,https://weibo.com/2538426094?refer_flag=1001030103_,希望世界各地的疫情赶紧结束 希望今年的奥运会不要黄 希望3-6月份国立西洋的展不要黄 希望在8月前可以再去一次东京 求求了🙏🙏🙏,,,,,5秒前,iPhone客户端
金陵宋运辉,https://weibo.com/3831102430?refer_flag=1001030103_,#三只松鼠#这算疫情期间的爱心人士の投食吗🤔我寻思着一觉醒来嗨有这么个惊喜呐三十包的袋子就大的离谱。今天表演一手“仨口一头jū”,,,,,4秒前,OnePlus 6T
山西祁县反邪教,https://weibo.com/3226229557?refer_flag=1001030103_,【山东3名“法轮功”成员散发反宣品被刑拘】当前正是全国同心共抗疫情的关键时期，然而“法轮功”等邪教组织却借此次疫情实施各种捣乱破坏活动，妄图阻挠疫情防控工作，在此提醒大家，防疫期间要警惕邪教的伪善面孔和骗人伎俩！,,,,,6秒前,iPhone客户端
南皮法院,https://weibo.com/3549332334?refer_flag=1001030103_,#冀法战疫# 战疫夫妻：用行动诠释大爱“跟你说个事，法院包联24小时轮流执勤，我已经报名了。”“能不去吗？我已经每天执勤，孩子怎么办？”“孩子大了，自己可以照顾自己。现在疫情形势严峻，我不能退缩。”这是战疫夫妻——代士勇与贾丽在微信的一段对话，也是自春节以来二人最长的一次对话。对话简短，没有儿女情长，却充满责任与担当，写出了人间大爱的模样。代士勇是南皮县人民法院的一名工作人员。自春节假期结束返岗以来，他义无反顾冲锋在法院包联社区一线，实行24小时轮流值班，每天对来访人员登记，测量体温。由于患有高血压，他将降压药长期备在口袋。多次在露天饭后吃降压药，维持血压稳定。知情同行干警自愿替他值班，他却拒绝了，说：“既然选择坚守防控一线，我一定就不能拉大家的后腿。疫情不散，我决不后退。”贾丽是南皮县城关镇卫生院的一名医护人员。疫情发生后，她在南皮高速路口防控执勤，至今未休。疫情就是命令，防控就是责任。对于医护人员，尤为如此。她与丈夫不是同事，却是战友，不同岗位，却相同责任。贾丽每天在疫情防控点对来往车辆人员进行体温测量，对重点区域车辆严格排查并上报留观。多次在寒风中，匆忙吃下几口冷饭，引发旧疾浅表性胃炎发作，强忍疼痛继续为全县人民站好出入南皮的第一道防线。儿子正上高二，学业繁重，也有着独生子女特有的娇气。身为母亲，贾丽也牵挂儿子学业及生活。但是儿子却好像一夜长大，反倒给她打气，不乏幽默地说：“上阵父子兵，战疫夫妻档。我为父母自豪。战疫是你们的责任，学习是我的义务。我会努力学习，照顾好自己，做一个像你们有责任、有担当的人。”肩膀过硬才能担得住责任，心存大爱才能深入疫情一线。代士勇、贾丽夫妻二人用自己的实际行动写出了大写的爱字。“哪有什么岁月静好，只不过有人替你负重前行。”正是无数英雄疫情一线的苦苦坚守，才凝聚了打赢战疫的强大力量，还人民一片美好净土。没有一个冬天不会过去，没有一春天不会到来。愿今后岁月静好，山河无恙。 ,,,,,6秒前,专业版微博
伊犁范儿,https://weibo.com/5721505831?refer_flag=1001030103_,#疫情当前警察不退# #抗疫一线群英谱# 20日，宜昌长阳民警邓长霖在说起全国各地有一些民警与辅警牺牲时，一时难以平复心情，带着哭腔表示，他们不怕“超长待机”，也能忍受站一天的腿脚肿胀，“在这场战疫中，我们没有一个人后退，唯一的希望大家都能理解我们，配合我们的工作。”,,,,,6秒前,HUAWEI Mate 10
小马马Lc,https://weibo.com/3212667363?refer_flag=1001030103_,疫情还么过，还是继续宅在家里瞎折腾吧……既然这么大了，有心想去学一样自己会的本事。就要认真的去面对。学到手，学到精～加油💪 2益阳·安化县 L小马马Lc的微博视频,,,,,6秒前,iPhone 8（金色）
新浪山东,https://weibo.com/3182698757?refer_flag=1001030103_,#山东新型肺炎疫情情况##潍坊身边事# 【2月25日0-12时潍坊又有两名新冠肺炎确诊患者出院 无新增确诊病例】2月25日0-12时，潍坊市又有两名新冠肺炎确诊患者出院，无新增确诊病例。至此，潍坊市已有24名患者出院。截至25日12时，潍坊市累计确诊新冠肺炎44例，出院24例，在院隔离治疗20例，其中1名重症，1名危重症，其他患者病情稳定。按病例确诊时医院所在县市区统计，奎文区26例（出院15例）、诸城市4例（出院1例）、寿光市1例（出院1例）、安丘市1例（出院1例）、高密市2例（出院1例）、昌邑市1例、临朐县3例（出院3例）、昌乐县6例（出院2例）。疑似病例报告2例。累计追踪到密切接触者1023人，解除医学观察987人，尚有36人正在接受医学观察。 ,,,,,6秒前,iPhone XS Max
Mm88J,https://weibo.com/5276408187?refer_flag=1001030103_,因为疫情也是一个仅仅自己就能陪妈妈做手术的坚强厉害er了,,,,,7秒前,iPhone客户端
新华网,https://weibo.com/2810373291?refer_flag=1001030103_,#全民战疫#【湖北：#对滞留在鄂外地人员提供救助服务#】湖北省新冠肺炎疫情防控指挥部25日发布通告，为切实做好新冠肺炎疫情防控期间滞留在鄂外地人员服务保障工作，就有关事项通告如下：对因离鄂通道管控滞留在湖北、生活存在困难的外地人员，由当地政府及有关方面提供救助服务。滞留在鄂外地人员可通过12345服务热线、湖北省政务服务网、鄂汇办App等平台反映困难诉求，各服务平台及时转交相关方面办理。对在湖北就业就学的人员，由所在单位、学校提供必要生活保障。对自由职业人员或因出差、探亲、访友、休假等滞留人员，由现住地所在社区（村）及时了解困难问题，积极协调解决。对有就业愿望且通过健康检测、医学观察的人员，由人社部门组织用工需求对接，提供就业服务。对急需医疗救助的人员，由卫生健康部门协调医疗机构及时给予救治。对生活无着落、确有困难的人员，由各地设置集中安置点，提供食宿、医疗等基本生活保障。通告提醒，为加强联防联控、群防群控，希望滞留在鄂外地人员遵守现住地疫情防控要求，配合做好相关工作，合力打赢疫情防控阻击战。 , 3, 3, 3,8,6秒 转赞人数超过10,微博 weibo.com
杨光张,https://weibo.com/1441971481?refer_flag=1001030103_,现在都在反思疫情的原因，那帮经济学家、作家、媒体人在霸屏写这件事，想霸占话语权，大家在看他们分析之前，先想想我写的这段话，疫情发生以来，他们霸占舆论太厉害，我只能认为疫情是他们导演的，他们不把这个问题说清楚，就休想把责任栽给任何人,,,,,9秒前,iPhone客户端
南昌老干部发布,https://weibo.com/2673596711?refer_flag=1001030103_,老干部工作者“战疫”记（九）——传承好红色基因，筑牢防疫铜墙铁壁自抗击新型冠状病毒感染的肺炎阻击战打响以来，市干休所全体干部职工坚守岗位，在所领导班子的带领下，严格按照中央、省、市和局里的部署和要求，传承红色基因，始终战斗在抗击疫情的第一线，不断筑牢防疫铜墙铁壁，有效确保了两个大院老同志及其家人的生命安全和身体健康。一、迅速行动，严密部署。疫情就是命令，防控就是责任，市干休所党总支部书记、所长熊晓春同志第一时间安排部署疫情防控相关工作，成立新型冠状病毒感染的肺炎疫情防控工作领导小组，建立24小时协调沟通机制，下设领导小组办公室，研究部署新型冠状病毒感染肺炎疫情防控工作，坚决扛起疫情防控组织领导责任，加强统筹调度，全面做好疫情防控工作。他要求全体职工要高度重视此次疫情，严格排查，并做好防疫措施宣传工作，积极引导老同志不串门、不聚集、不信谣、不传谣，保持健康乐观心态，不恐慌，科学防疫，关爱自身健康和生命安全就是对社会负责。二、领导垂范，全员战疫。市干休所在编人员共12人，但负责的两个大院住户有600余人，其中年迈的老干部及遗孀和其它住户接近百人，属于病毒易感人群，疫情的防控压力非常大。自防控战打响以来，熊晓春同志刚病愈出院，为了抗击疫情来不及休整，始终值守在抗击疫情第一线，每日召开一次调度会议分析疫情、协调保障物资供给、对老同志进行心理疏导，巡察各项防疫措施落实情况。积极开展“我是党员我带头”活动，全所同志齐上阵，每天通过电话、微信、短信等了解老同志身体、生活及思想状况，和物业一起做好出入人员登记，对公共部位做到定期消杀。虽然人员紧缺，但是他们还是服从大局，自我加压，抽调了2名同志参加市督查组防疫督查工作。三、突出重点，严防严控。对院内从外地返工的住家保姆进行深入了解。要求其在进入大院第一时间向市干休所报备个人信息、身体情况，过年期间人员接触情况等并做到居家隔离14天，并认真审核其所在地出具的相关证明材料。做好人员出入管理工作，南站大院仅开放东院门，采取锁闭铁门的方式封闭西院门出入口以减少人员流动。禁止外来人员、车辆进入大院，劝返走亲访友人员。南站大院实行通行卡出入，一户一卡，凭卡外出并详细记录出入时间、体温、事由等信息。对少数独居老干部，因子女探望需求不搞“一刀切”，设置《外来人员（车辆）登记表》，在监测体温后详细记录外来人员、车辆信息，做到人员、车辆信息可追溯。维护老同志及遗孀的生命安全和身体健康是干休所的职责和使命，市干休所全体干部职工将传承好红色基因、积极投身到疫情防控战斗中去，坚信在党中央、省委、市委、市局的坚强领导下，我们一定能够打赢这场疫情防控阻击战！ ,,,,,8秒前,专业版微博
罗免微窗,https://weibo.com/6001810611?refer_flag=1001030103_,疫情防控形势已经到了最吃劲的关键时期，疫情防控工作由全面防控向精准防控、重点防控转变。罗免镇始终坚持疫情防控和经济发展两手抓、两手都要硬策略，为确保疫情防控工作不松劲，有效保障企业复工复产，2月24日下午，罗免镇召开重点企业疫情防控工作会议，会议由镇人民政府镇长邓琼同志主持，相关分管领导和辖区各企业负责人参加会议。会上，镇武装部长李忠同志对前期各企业疫情防控工作情况进行了通报。镇人民政府副镇长费超同志传达了富民县新冠肺炎疫情防控指挥部下发的《富民县应对新冠肺炎疫情分区分级分类防控措施指导意见》，对当前疫情防控分区分类标准、区域及风险等级的划分、全国疫区的划分等内容向企业进行了详细说明。并对企业复产复工后在人员的管控、企业内部的日常清消、遇突发事件的处置等方面作了详细的安排。镇人民政府镇长邓琼同志强调：一是各企业要坚持科学研判，正确认识新阶段疫情防控的特点，抓好疫情防控工作；二是周密部署，全面落实企业疫情防控主体责任；三是强化督导，分区分级开展疫情防控工作检查，镇分管领导和相关部门要加大对辖区内复工复产企业疫情防控工作检查力度，重点对企业疫情防控领导机构设置、防控方案、人员管控、杀菌消毒、物资储备、员工监测、办公及会议情况、员工用餐情况、公共区域维护、应急处置、宣传教育、工作记录等12个方面进行检查。下一步，镇党委政府将遵循依法依规、科学严密、精准施策的防控策略，在抓好疫情防控工作的同时，全力抓好企业复工复产，将疫情对全镇经济社会的影响降到最小，确保完成今年全镇经济社会发展目标。@富民宣传 @昆宣发布 @昆明信息港 @昆明发布 ,,,,,9秒前,微博 weibo.com
986路上好朋友,https://weibo.com/1750349212?refer_flag=1001030103_,【沈阳铁路66趟旅客列车接续停运】为应对疫情防控，沈阳局集团公司根据旅客出行需求变化，调整优化列车开行方案，对部分旅客列车采取接续停运措施。#抗击疫情 辽宁在行动#,,,,,9秒前,iPhone客户端
人民网河南频道,https://weibo.com/3316714211?refer_flag=1001030103_,【#十大堵城不堵了#：节后复工#十大堵城拥堵下降近四成#】2月25日，国家信息中心大数据发展部等发布《2019年度中国主要城市交通分析报告》。2019年度中国十大堵城为哈尔滨、重庆、长春、北京、济南、呼和浩特、西安、大连、贵阳、沈阳。而受疫情影响，陆续复工后的“十大堵城”整体拥堵下降37.3%，昔日首堵北京拥堵降幅达38.3%@老板联播 L老板联播的微博视频 ,,,,,10秒前,HUAWEI P20
渭南日报社,https://weibo.com/1994238825?refer_flag=1001030103_,【农行白水支行4亿元贷款助力疫情期间生猪供应】日前，农行白水支行成功向白水牧原农牧有限公司投放4亿元固定资产贷款，支持企业项目加快建设，确保疫情期间生猪市场供应。O农行白水支行4亿元贷款助力疫情期间生猪供应,,,,,9秒前,搜狗高速浏览器
肇庆消防,https://weibo.com/5497276987?refer_flag=1001030103_,【家庭消防安全三大常识】#老家呆久了不想走怎么办# 疫情当前国家加大监管力度，不仅是为了全力抗击疫情，也是为了人民群众获得更多“幸福感”。可是，当你足够重视疫情防护时，也要注意消防安全，图说生活中的消防安全要点 ，一起看一下 2肇庆,,,,,9秒前,iPhone 7 Plus
西安城事儿,https://weibo.com/5544721911?refer_flag=1001030103_,#西安抗疫在行动#【西安网红奶茶店复工顾客排长队】2月23日，自疫情爆发以来各地封闭管理近一个月，以往人头攒动的西安小寨商业圈也一度冷清了许多，然而，这两天附近几家网红奶茶店开门营业了，吸引不少年轻人前来。ps：奶茶虽好喝，生命更可贵！（青蕉视频）L青蕉视频的微博视频 #西安爆料#,,,,,9秒前,News Android
健康中国,https://weibo.com/2834480301?refer_flag=1001030103_,#健康发布# 【截至2月24日24时新型冠状病毒肺炎疫情最新情况】2月24日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例508例，新增死亡病例71例（湖北68例，山东2例，广东1例），新增疑似病例530例。当日新增治愈出院病例2589例，解除医学观察的密切接触者15758人，重症病例减少789例。截至2月24日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例47672例（其中重症病例9126例），累计治愈出院病例27323例，累计死亡病例2663例，累计报告确诊病例77658例，现有疑似病例2824例。累计追踪到密切接触者641742人，尚在医学观察的密切接触者87902人。湖北新增确诊病例499例（武汉464例），新增治愈出院病例2116例（武汉1391例），新增死亡病例68例（武汉56例），现有确诊病例43369例（武汉34691例），其中重症病例8675例（武汉7647例）。累计治愈出院病例18854例（武汉10337例），累计死亡病例2563例（武汉2043例），累计确诊病例64786例（武汉47071例）。新增疑似病例373例（武汉282例），现有疑似病例2292例（武汉1529例）。累计收到港澳台地区通报确诊病例121例：香港特别行政区81例（出院19例，死亡2例），澳门特别行政区10例（出院6例），台湾地区30例(出院5例，死亡1例)。 , 467, 467, 936,6877,今天08:54,微博 weibo.com
卟呤卟呤-呤800,https://weibo.com/6491776376?refer_flag=1001030103_,因为疫情，在家宅了一个月，不能随便出门，极少运动。天天都是五百步以内，结果昨天上班，走了一万多步，发现今天小腿好疼！ 2深圳·龙华富士康,,,,,2秒前,iPhone客户端
天府TV,https://weibo.com/3199627477?refer_flag=1001030103_,【#分区分级精准复工复产#：分类指导 精准施策】国家卫健委疾病预防控制局一级巡视员贺青华表示，依据疫情严重程度，以县级为单位，划分为低风险地区，中风险地区和高风险地区。低风险地区，实施外防输入的策略，全面恢复生产生活秩序，帮助企业解决用工及原材料等困扰和问题，不得以审批备案等形式为借口拖延企业复工复产时间；中风险地区，实施外防输入，内防扩散策略，尽快有序恢复正常的生产生活秩序，做到疫情防控和企业复工复产同步推进；高风险地区，实施内防扩散，外防输入，严格管控。（人民网）L人民网的微博视频 ,,,,,3秒前,微博 weibo.com
黄山日报,https://weibo.com/3181530145?refer_flag=1001030103_,安徽新冠肺炎疫情防控应急响应级别由省一级响应调整为二级响应O安徽新冠肺炎疫情防控应急响应级别由省一级响应调整为二级响应,,,,,2秒前,微博 weibo.com
街探乐山,https://weibo.com/6215179048?refer_flag=1001030103_,【#四川1确诊女子曾8次核酸检测阴性#】2月24日，四川资阳新增新冠肺炎确诊病例1例，患者唐某某由疑似病例转为确诊病例。据安岳县官方微博消息，患者唐某某集中隔离后，当地先后8次对她的呼吸道标本进行核酸检测，结果均为阴性，但双肺外带磨玻璃影未明显改善。#聚焦新冠肺炎疫情#L新京报我们视频的秒拍视频 ,,,,,2秒前,OPPO K3 硬核少年
盒粉儿多加辣,https://weibo.com/1355441622?refer_flag=1001030103_,今天顶着疫情出门，带小派打了两针，扎腿没哭，扎胳膊又咔咔哭了～ （可能因为大腿肉厚没感觉）我第一次抱着她打针… 💉那针头真可怕…小派现在白天也可以躺下自主入睡了，真棒！！！,,,,,3秒前,iPhone客户端
三丶叶草悦悦,https://weibo.com/3153392224?refer_flag=1001030103_,回复@真心真情de李晟:是媒体造神？媒体有什么能力造？背后的利益集团才是控制着。这次疫情，试剂盒一次检查费多少？中国得需要多少个试剂盒？一天下来，一天上千万的检测费用，都进了哪些机构？你查下，这些钱百姓不出自然看不见，那可是国家真金白银拿钱啊！！！ 你搜下光大基因，仔细琢磨下,,,,,4秒前,vivo智能手机
潼关发布,https://weibo.com/3764660563?refer_flag=1001030103_,【樊正学主持召开县委常委扩大会议 安排部署我县疫情防控和经济社会发展工作】 2月24日，县委书记樊正学主持召开县委常委扩大会议，贯彻落实中央统筹推进新冠肺炎疫情防控和经济社会发展工作部署会议精神。樊正学作重要讲话，县长于娟侠安排部署经济社会工作，县级领导唐娴、孙永亮、燕德民、陈飞、马世仓、李勤侠、李建军、刘通柱、白涛、刘永利、边有兵等出席会议。 ,,,,,4秒前,微博 weibo.com
挹江门街道钟阜路社区,https://weibo.com/3471512732?refer_flag=1001030103_,#社区工作# 区妇联结对干部配合社区工作人员“划片包干”，将工作岗位下层到社区基层第一线，发挥“一个党员就是一面旗帜”不怕吃苦的精神，与社区网格员一起，开展疫情防控宣传活动,,,,,4秒前,搜狗高速浏览器
泰安公安,https://weibo.com/1920014771?refer_flag=1001030103_,#抗击疫情公安在行动# 泰安战“疫” | 纸短情长，这些“信”句句暖心！O泰安战“疫” | 纸短情长，这些“信”句句暖心！,,,,,4秒前,微博 weibo.com
譚志薏,https://weibo.com/2130291945?refer_flag=1001030103_,自從疫情出現以來，我第一次用健保卡（實名制）買到口罩了，我們家附近藥局每天下午3點開始賣，趁今天下午沒錄音室特意早早回家去排隊，在爆熱的氣溫下，穿著短袖依舊揮汗😅您一定好奇我之前沒買到口罩怎麼生活，平時因為過敏面對灰塵容易打噴嚏，所以家中ㄧ直有些存貨，但不知疫情會延燒到什麼時候，加上小孩開課了天天都要口罩，所以當娘的就衝鋒陷陣，口罩，酒精通通要 2台湾·新北市 ,,,,,5秒前,iPhone客户端
亳州文明网,https://weibo.com/2686283563?refer_flag=1001030103_,【热心市民为疫情防控人员免费送餐】“你们太辛苦了，快来吃一口热乎的包子吧！”一大早一句暖心的话传来。这是发生在谯城区汤陵街道灵津渡社区董家街路口防控点的温馨一幕。年近七旬的董艳梅、赵广林夫妇带着热腾腾的包子、烙馍、酱豆，送到了疫情防控一线社区工作人员的手中，让大家在忙碌中吃到热乎的饭菜。 ,,,,,5秒前,微博 weibo.com
贵阳交通广播,https://weibo.com/1750349224?refer_flag=1001030103_,【出门戴护目镜、扣塑料桶，穿一次性雨衣、外套次次消毒…这些防护有必要吗？】 疫情期间，除了口罩，护目镜、手套等防护用具也是销售火爆，甚至还有不少人自制了一些防护用品。这些防护用品真的都有必要戴吗？戳↓听专家怎么说！ L小央视频的秒拍视频,,,,,5秒前,微博云剪
梅州网警巡查执法,https://weibo.com/5917088163?refer_flag=1001030103_,【男子卖口罩诈骗34万订奔驰，等待提车时被抓】#疫情当前 警察不退# 2月21日，浙江浦江法院审理了一起诈骗案。一男子朋友圈发布出售口罩信息，诈骗34万元后拉黑买家，随后订购了一辆奔驰车，他在等待提车时被抓获。法院认为，被告人在疫情期间诈骗数额巨大，被判处有期徒刑5年6个月。L一手video的秒拍视频 ,,,,,5秒前,微博 weibo.com
